310,[1.17204173 0.74789315 0.55890028],[1.14553539 0.79572868 0.50874017],[1.14890659 0.84839846 0.45869207],[1.1850282  0.89640404 0.40864971],[1.22997921 0.94837602 0.35870859],[1.28117778 0.99682438 0.31142393],[1.32963993 1.0484633  0.30692235],[1.38098993 1.09694706 0.34586815],[1.40908926 1.13714855 0.39387105],[1.41714204 1.15931511 0.44276555],[1.41180553 1.17714015 0.48739242],[1.42560898 1.20285007 0.52949279],[1.4459673  1.23845834 0.57167862]
320,[1.17204173 0.74789315 0.55890028],[1.14553539 0.79572868 0.50874017],[1.14890659 0.84839846 0.45869207],[1.1850282  0.89640404 0.40864971],[1.22997921 0.94837602 0.35870859],[1.28117778 0.99682438 0.31142393],[1.32963993 1.0484633  0.30692235],[1.38098993 1.09694706 0.34586815],[1.40908926 1.13714855 0.39387105],[1.41714204 1.15931511 0.44276555],[1.41180553 1.17714015 0.48739242],[1.42560898 1.20285007 0.52949279],[1.4459673  1.23845834 0.57167862]
330,[1.17204173 0.74789315 0.55890028],[1.14553539 0.79572868 0.50874017],[1.14890659 0.84839846 0.45869207],[1.1850282  0.89640404 0.40864971],[1.22997921 0.94837602 0.35870859],[1.28117778 0.99682438 0.31142393],[1.32963993 1.0484633  0.30692235],[1.38098993 1.09694706 0.34586815],[1.40908926 1.13714855 0.39387105],[1.41714204 1.15931511 0.44276555],[1.41180553 1.17714015 0.48739242],[1.42560898 1.20285007 0.52949279],[1.4459673  1.23845834 0.57167862]
340,[1.17204173 0.74789315 0.55890028],[1.14553539 0.79572868 0.50874017],[1.14890659 0.84839846 0.45869207],[1.1850282  0.89640404 0.40864971],[1.22997921 0.94837602 0.35870859],[1.28117778 0.99682438 0.31142393],[1.32963993 1.0484633  0.30692235],[1.38098993 1.09694706 0.34586815],[1.40908926 1.13714855 0.39387105],[1.41714204 1.15931511 0.44276555],[1.41180553 1.17714015 0.48739242],[1.42560898 1.20285007 0.52949279],[1.4459673  1.23845834 0.57167862]
350,[1.17204173 0.74789315 0.55890028],[1.14553539 0.79572868 0.50874017],[1.14890659 0.84839846 0.45869207],[1.1850282  0.89640404 0.40864971],[1.22997921 0.94837602 0.35870859],[1.28117778 0.99682438 0.31142393],[1.32963993 1.0484633  0.30692235],[1.38098993 1.09694706 0.34586815],[1.40908926 1.13714855 0.39387105],[1.41714204 1.15931511 0.44276555],[1.41180553 1.17714015 0.48739242],[1.42560898 1.20285007 0.52949279],[1.4459673  1.23845834 0.57167862]
360,[1.17204173 0.74789315 0.55890028],[1.14553539 0.79572868 0.50874017],[1.14890659 0.84839846 0.45869207],[1.1850282  0.89640404 0.40864971],[1.22997921 0.94837602 0.35870859],[1.28117778 0.99682438 0.31142393],[1.32963993 1.0484633  0.30692235],[1.38098993 1.09694706 0.34586815],[1.40908926 1.13714855 0.39387105],[1.41714204 1.15931511 0.44276555],[1.41180553 1.17714015 0.48739242],[1.42560898 1.20285007 0.52949279],[1.4459673  1.23845834 0.57167862]
370,[1.17204173 0.74789315 0.55890028],[1.14553539 0.79572868 0.50874017],[1.14890659 0.84839846 0.45869207],[1.1850282  0.89640404 0.40864971],[1.22997921 0.94837602 0.35870859],[1.28117778 0.99682438 0.31142393],[1.32963993 1.0484633  0.30692235],[1.38098993 1.09694706 0.34586815],[1.40908926 1.13714855 0.39387105],[1.41714204 1.15931511 0.44276555],[1.41180553 1.17714015 0.48739242],[1.42560898 1.20285007 0.52949279],[1.4459673  1.23845834 0.57167862]
380,[1.17204173 0.74789315 0.55890028],[1.14553539 0.79572868 0.50874017],[1.14890659 0.84839846 0.45869207],[1.1850282  0.89640404 0.40864971],[1.22997921 0.94837602 0.35870859],[1.28117778 0.99682438 0.31142393],[1.32963993 1.0484633  0.30692235],[1.38098993 1.09694706 0.34586815],[1.40908926 1.13714855 0.39387105],[1.41714204 1.15931511 0.44276555],[1.41180553 1.17714015 0.48739242],[1.42560898 1.20285007 0.52949279],[1.4459673  1.23845834 0.57167862]
390,[1.17204173 0.74789315 0.55890028],[1.14553539 0.79572868 0.50874017],[1.14890659 0.84839846 0.45869207],[1.1850282  0.89640404 0.40864971],[1.22997921 0.94837602 0.35870859],[1.28117778 0.99682438 0.31142393],[1.32963993 1.0484633  0.30692235],[1.38098993 1.09694706 0.34586815],[1.40908926 1.13714855 0.39387105],[1.41714204 1.15931511 0.44276555],[1.41180553 1.17714015 0.48739242],[1.42560898 1.20285007 0.52949279],[1.4459673  1.23845834 0.57167862]
400,[1.17204173 0.74789315 0.55890028],[1.14553539 0.79572868 0.50874017],[1.14890659 0.84839846 0.45869207],[1.1850282  0.89640404 0.40864971],[1.22997921 0.94837602 0.35870859],[1.28117778 0.99682438 0.31142393],[1.32963993 1.0484633  0.30692235],[1.38098993 1.09694706 0.34586815],[1.40908926 1.13714855 0.39387105],[1.41714204 1.15931511 0.44276555],[1.41180553 1.17714015 0.48739242],[1.42560898 1.20285007 0.52949279],[1.4459673  1.23845834 0.57167862]
