280000,[1.17204173 0.74789315],[1.24300185 0.79554836],[1.29052872 0.84174601],[1.34025863 0.88819775],[1.39021522 0.92566539],[1.44202057 0.9035087 ],[1.49258265 0.85659632],[1.54144016 0.80692648],[1.58370642 0.75449119]
290000,[1.17204173 0.74789315],[1.24533923 0.68900548],[1.28880488 0.63326022],[1.3112107  0.57614123],[1.322663   0.52463484],[1.33677541 0.47530862],[1.36445591 0.42193095],[1.40501121 0.36729914],[1.45456224 0.3179917 ]
300000,[1.17204173 0.74789315],[1.23941409 0.69159912],[1.28242203 0.63764562],[1.32047734 0.57830791],[1.33808239 0.52204052],[1.36410694 0.46691377],[1.40388738 0.41400753],[1.45331942 0.36520878],[1.50284079 0.31629166]
310000,[1.17204173 0.74789315],[1.271703   0.67645896],[1.3174247 0.6199992],[1.36047386 0.56727638],[1.39710467 0.51323721],[1.4387486  0.46140306],[1.48617743 0.41120814],[1.53538371 0.36165418]
320000,[1.17204173 0.74789315],[1.28590988 0.65955195],[1.33143658 0.60383094],[1.36363603 0.54636769],[1.39217855 0.48990052],[1.42416703 0.43432713],[1.47302387 0.38497441],[1.52217549 0.33578377]
330000,[1.17204173 0.74789315],[1.24430466 0.70402988],[1.29128331 0.64750464],[1.33659506 0.59331355],[1.38210408 0.54275478],[1.42917088 0.49292501],[1.47729977 0.44336047],[1.50700563 0.40158096]
340000,[1.17204173 0.74789315],[1.28354869 0.6666714 ],[1.32938985 0.61357078],[1.36541494 0.55462755],[1.39287212 0.49549787],[1.42278908 0.43813862],[1.47170869 0.38860169],[1.52085345 0.33958594]
350000,[1.17204173 0.74789315],[1.28214763 0.66258909],[1.32321394 0.60865177],[1.35092132 0.55261519],[1.37340556 0.490691  ],[1.40906929 0.43104601],[1.45809523 0.38173878],[1.50731528 0.33288798]
360000,[1.17204173 0.74789315],[1.28076478 0.6646464 ],[1.32023373 0.61269574],[1.3467337  0.55536152],[1.36649716 0.49381543],[1.40153266 0.43566415],[1.45053662 0.38644721],[1.49981703 0.33752432]
370000,[1.17204173 0.74789315],[1.28968793 0.65473781],[1.33282889 0.60317764],[1.36631439 0.54833359],[1.39396796 0.49364083],[1.44215222 0.4447596 ],[1.4906067  0.39587088]
380000,[1.17204173 0.74789315],[1.26281041 0.67054948],[1.30579977 0.62105688],[1.33858533 0.56036222],[1.36193894 0.50279183],[1.39444513 0.44757913],[1.43891327 0.39580296],[1.48825343 0.34676888],[1.53683428 0.29815853]
390000,[1.17204173 0.74789315],[1.2880877 0.654207 ],[1.33001539 0.59698737],[1.3445632  0.53782143],[1.36756453 0.48431253],[1.40167545 0.42987445],[1.44771102 0.37853153],[1.49724321 0.3290181 ]
400000,[1.17204173 0.74789315],[1.28647294 0.65529726],[1.32809549 0.59741942],[1.34222046 0.53897155],[1.36370656 0.48583923],[1.39721449 0.43018514],[1.44051928 0.37666711],[1.49007267 0.32685169]
410000,[1.17204173 0.74789315],[1.24155628 0.69008228],[1.28484755 0.63351096],[1.3230365  0.57878433],[1.35468532 0.52571312],[1.3888062 0.4736324],[1.43763564 0.42485874],[1.48685481 0.37578131],[1.5153918  0.33608568]
420000,[1.17204173 0.74789315],[1.28384629 0.65653575],[1.32645253 0.59993561],[1.3459968  0.54236334],[1.37673316 0.48975489],[1.41599005 0.43898347],[1.46433947 0.39122459],[1.49720585 0.35016453]
430000,[1.17204173 0.74789315],[1.28529595 0.65587521],[1.32882851 0.60324975],[1.36090928 0.54805238],[1.38932411 0.49461652],[1.43761597 0.44569254],[1.48652562 0.39666175],[1.50779877 0.35965335]
440000,[1.17204173 0.74789315],[1.28701148 0.6549998 ],[1.33050817 0.60298739],[1.36376055 0.54815584],[1.39117123 0.49357877],[1.43954613 0.44412384],[1.48876021 0.39465678],[1.51972385 0.35294372]
450000,[1.17204173 0.74789315],[1.28775605 0.65449011],[1.33108697 0.60367208],[1.36660319 0.54921451],[1.39298751 0.49285142],[1.43796225 0.4401462 ],[1.48742293 0.39008688],[1.53389339 0.34136937]
460000,[1.17204173 0.74789315],[1.28990825 0.6543952 ],[1.33307646 0.60345203],[1.36838327 0.54930285],[1.39453059 0.49234632],[1.43927994 0.43912563],[1.48877484 0.38896398],[1.53649066 0.33966989]
470000,[1.17204173 0.74789315],[1.24409339 0.68522641],[1.28690918 0.63575834],[1.3305537  0.58362014],[1.36486236 0.53161664],[1.40705305 0.4775633 ],[1.45675253 0.42717621],[1.50654761 0.37694887]
480000,[1.17204173 0.74789315],[1.23451168 0.72333872],[1.2752224  0.66762455],[1.3094375  0.60766209],[1.3479558  0.55467117],[1.39016449 0.50132249],[1.44000338 0.45080069],[1.49032087 0.39993458]
490000,[1.17204173 0.74789315],[1.24799498 0.68810191],[1.29227421 0.63851472],[1.33049104 0.58488612],[1.36456956 0.52926378],[1.41292532 0.47995827],[1.46256771 0.42987952],[1.50138075 0.3842288 ]
500000,[1.17204173 0.74789315],[1.2435612  0.68628644],[1.28591625 0.637728  ],[1.33053777 0.58837616],[1.36614866 0.5361211 ],[1.4151247  0.48614614],[1.46511188 0.43561207],[1.5006766  0.39080445]
510000,[1.17204173 0.74789315],[1.24333732 0.68849714],[1.2879497  0.63911247],[1.32817081 0.58877603],[1.36526221 0.53443744],[1.41329821 0.48549011],[1.46144733 0.43595886],[1.48585582 0.39638258],[1.50376124 0.36026002]
