170000,[1.17204173 0.74789315],[1.22532427 0.70808731],[1.27302452 0.66082144],[1.32509958 0.61205542],[1.3529286  0.57696061],[1.37012218 0.55232342],[1.35390094 0.55612174],[1.3605807  0.53588287],[1.41489378 0.48598923],[1.39837289 0.39798069],[1.44831785 0.36373592]
180000,[1.17204173 0.74789315],[1.22533934 0.70808716],[1.27308407 0.66082177],[1.32523639 0.61205938],[1.35312462 0.57709679],[1.37071827 0.55253353],[1.35681197 0.55587363],[1.36368122 0.53641281],[1.39033267 0.51592303],[1.39554856 0.48932693],[1.45614958 0.43999879]
190000,[1.17204173 0.74789315],[1.20153335 0.70804673],[1.1757064  0.66119407],[1.13893632 0.60611055],[1.10299897 0.5545142 ],[1.06344661 0.51192618],[1.0838893  0.45772268],[1.10040065 0.41497328],[1.16953689 0.35903205],[1.13131719 0.41141825],[1.19704112 0.3583776 ]
200000,[1.17204173 0.74789315],[1.12615586 0.70804733],[1.08090015 0.65653671],[1.03367131 0.60779158],[0.98352408 0.55869424],[0.94684435 0.50913655],[0.96531443 0.45961701],[1.0146466  0.41198282],[1.05036258 0.42069951],[1.09879327 0.37163143],[1.11207884 0.42435477]
210000,[1.17204173 0.74789315],[1.12565681 0.7080488 ],[1.08048804 0.65649676],[1.03311267 0.60775355],[0.98299303 0.55910216],[0.93723121 0.50625282],[0.9184406  0.45897007],[0.92574889 0.41594065],[0.9692997  0.36835493],[0.99498943 0.31482797],[1.05894655 0.27133849]
220000,[1.17204173 0.74789315],[1.22530895 0.70808701],[1.27304213 0.66082368],[1.32518723 0.61206027],[1.35518309 0.57553096],[1.35996413 0.56132739],[1.35162184 0.55381022],[1.34375744 0.55216668],[1.34064643 0.54254297],[1.3338093  0.54310972],[1.33042581 0.53485909]
230000,[1.17204173 0.74789315],[1.2253366  0.70808705],[1.27305703 0.66082367],[1.325155   0.61206039],[1.35510342 0.57544855],[1.36138184 0.55982968],[1.35120774 0.55359179],[1.34552302 0.54960415],[1.34105663 0.54126409],[1.33518281 0.54017677],[1.33147025 0.53262468]
240000,[1.17204173 0.74789315],[1.22523223 0.7080869 ],[1.27175019 0.66082423],[1.32101852 0.61205702],[1.34605276 0.57287647],[1.35643931 0.54158266],[1.32094765 0.54895691],[1.32874207 0.52069206],[1.30249208 0.53549978],[1.30608862 0.51584678],[1.29038711 0.53091415]
250000,[1.17204173 0.74789315],[1.22177589 0.71006553],[1.26891384 0.66271127],[1.26233    0.65781733],[1.30741512 0.60826021],[1.28637272 0.62331131],[1.29536547 0.59633472],[1.28931136 0.60503572],[1.27670363 0.59375683],[1.28100246 0.59633402],[1.26329661 0.59014754]
260000,[1.17204173 0.74789315],[1.22176983 0.71006967],[1.26890721 0.66271528],[1.26229849 0.65783907],[1.30738196 0.60828185],[1.28632802 0.62334822],[1.29531798 0.59637106],[1.28925899 0.60508317],[1.27664326 0.59380603],[1.28093903 0.59639358],[1.26322288 0.59020959]
270000,[1.17204173 0.74789315],[1.22366435 0.70890562],[1.27106806 0.66158051],[1.27946902 0.64629486],[1.32544414 0.59680948],[1.31479906 0.60022173],[1.32246665 0.57583122],[1.32015936 0.57716144],[1.30952798 0.56718189],[1.31342751 0.56562419],[1.30000435 0.55948349]
280000,[1.17204173 0.74789315],[1.22437636 0.70873013],[1.27194413 0.661399  ],[1.29990069 0.63186007],[1.34680369 0.58259025],[1.35104276 0.57141142],[1.34027715 0.56315211],[1.35726017 0.54287732],[1.33121372 0.55162434],[1.34678905 0.53166766],[1.32476711 0.54259804]
290000,[1.17204173 0.74789315],[1.22509978 0.70818079],[1.27277944 0.6608416 ],[1.29823309 0.63337115],[1.34527539 0.58381273],[1.32962948 0.58967252],[1.33163804 0.57003015],[1.32462725 0.57398091],[1.31579218 0.56336393],[1.31584368 0.56428698],[1.30439049 0.55708393]
300000,[1.17204173 0.74789315],[1.22533405 0.7080892 ],[1.27310458 0.66074535],[1.31754876 0.61834299],[1.36129321 0.57201299],[1.35546747 0.56759122],[1.3450091 0.5595978],[1.34839313 0.55037407],[1.33757318 0.54572672],[1.33807878 0.54043782],[1.33055684 0.53541249]
310000,[1.17204173 0.74789315],[1.22217897 0.70978593],[1.26936912 0.66244   ],[1.27705457 0.64719425],[1.32288008 0.59774709],[1.31918244 0.59536262],[1.32575785 0.5721761 ],[1.32590111 0.57068381],[1.31490611 0.56183358],[1.31958956 0.55857993],[1.30678072 0.55304288]
320000,[1.17204173 0.74789315],[1.22522217 0.70813671],[1.27294772 0.66079373],[1.30586143 0.62741337],[1.35311062 0.57808143],[1.33568588 0.58470521],[1.33512672 0.56730595],[1.3261603  0.57227468],[1.31828576 0.56133513],[1.31852415 0.56146005],[1.30745122 0.55445369]
