410000,[1.17204173 0.74789315],[1.12582821 0.69582541],[1.07375993 0.6485515 ],[1.02671299 0.59632612],[0.9746667  0.54821505],[0.92643257 0.49653091],[0.87475655 0.44823636],[0.82629907 0.39678076],[0.77485849 0.34827797],[0.72880428 0.299059  ],[0.68017761 0.24898897],[0.63449722 0.19953906],[0.59489478 0.1680322 ]
420000,[1.17204173 0.74789315],[1.12582821 0.69582541],[1.07375993 0.6485515 ],[1.02671299 0.59632612],[0.9746667  0.54821505],[0.92643257 0.49653091],[0.87475655 0.44823636],[0.82629907 0.39678076],[0.77485849 0.34827797],[0.72880428 0.299059  ],[0.68017761 0.24898897],[0.63449722 0.19953906],[0.59489478 0.1680322 ]
430000,[1.17204173 0.74789315],[1.12582821 0.69582541],[1.07375993 0.6485515 ],[1.02671299 0.59632612],[0.9746667  0.54821505],[0.92643257 0.49653091],[0.87475655 0.44823636],[0.82629907 0.39678076],[0.77485849 0.34827797],[0.72880428 0.299059  ],[0.68017761 0.24898897],[0.63449722 0.19953906],[0.59489478 0.1680322 ]
440000,[1.17204173 0.74789315],[1.12582821 0.69582541],[1.07375993 0.6485515 ],[1.02671299 0.59632612],[0.9746667  0.54821505],[0.92643257 0.49653091],[0.87475655 0.44823636],[0.82629907 0.39678076],[0.77485849 0.34827797],[0.72880428 0.299059  ],[0.68017761 0.24898897],[0.63449722 0.19953906],[0.59489478 0.1680322 ]
450000,[1.17204173 0.74789315],[1.12582821 0.69582541],[1.07375993 0.6485515 ],[1.02671299 0.59632612],[0.9746667  0.54821505],[0.92643257 0.49653091],[0.87475655 0.44823636],[0.82629907 0.39678076],[0.77485849 0.34827797],[0.72880428 0.299059  ],[0.68017761 0.24898897],[0.63449722 0.19953906],[0.59489478 0.1680322 ]
460000,[1.17204173 0.74789315],[1.12582821 0.69582541],[1.07375993 0.6485515 ],[1.02671299 0.59632612],[0.9746667  0.54821505],[0.92643257 0.49653091],[0.87475655 0.44823636],[0.82629907 0.39678076],[0.77485849 0.34827797],[0.72880428 0.299059  ],[0.68017761 0.24898897],[0.63449722 0.19953906],[0.59489478 0.1680322 ]
470000,[1.17204173 0.74789315],[1.12582821 0.69582541],[1.07375993 0.6485515 ],[1.02671299 0.59632612],[0.9746667  0.54821505],[0.92643257 0.49653091],[0.87475655 0.44823636],[0.82629907 0.39678076],[0.77485849 0.34827797],[0.72880428 0.299059  ],[0.68017761 0.24898897],[0.63449722 0.19953906],[0.59489478 0.1680322 ]
480000,[1.17204173 0.74789315],[1.12582821 0.69582541],[1.07375993 0.6485515 ],[1.02671299 0.59632612],[0.9746667  0.54821505],[0.92643257 0.49653091],[0.87475655 0.44823636],[0.82629907 0.39678076],[0.77485849 0.34827797],[0.72880428 0.299059  ],[0.68017761 0.24898897],[0.63449722 0.19953906],[0.59489478 0.1680322 ]
490000,[1.17204173 0.74789315],[1.12582821 0.69582541],[1.07375993 0.6485515 ],[1.02671299 0.59632612],[0.9746667  0.54821505],[0.92643257 0.49653091],[0.87475655 0.44823636],[0.82629907 0.39678076],[0.77485849 0.34827797],[0.72880428 0.299059  ],[0.68017761 0.24898897],[0.63449722 0.19953906],[0.59489478 0.1680322 ]
500000,[1.17204173 0.74789315],[1.12582821 0.69582541],[1.07375993 0.6485515 ],[1.02671299 0.59632612],[0.9746667  0.54821505],[0.92643257 0.49653091],[0.87475655 0.44823636],[0.82629907 0.39678076],[0.77485849 0.34827797],[0.72880428 0.299059  ],[0.68017761 0.24898897],[0.63449722 0.19953906],[0.59489478 0.1680322 ]
510000,[1.17204173 0.74789315],[1.12582821 0.69582541],[1.07375993 0.6485515 ],[1.02671299 0.59632612],[0.9746667  0.54821505],[0.92643257 0.49653091],[0.87475655 0.44823636],[0.82629907 0.39678076],[0.77485849 0.34827797],[0.72880428 0.299059  ],[0.68017761 0.24898897],[0.63449722 0.19953906],[0.59489478 0.1680322 ]
