260000,[1.17204173 0.74789315],[1.21039669 0.71162928],[1.23168467 0.66563445],[1.25451695 0.61626429],[1.28891456 0.56642323],[1.32081444 0.5274024 ],[1.32546799 0.5192852 ],[1.32539884 0.51649535],[1.32282851 0.51660297]
270000,[1.17204173 0.74789315],[1.20787189 0.70316022],[1.23700569 0.65686093],[1.28046051 0.60779721],[1.3324476  0.55715149],[1.3869694 0.5014414],[1.43762561 0.44554588],[1.48476296 0.39045964],[1.53078611 0.33760142]
280000,[1.17204173 0.74789315],[1.20363697 0.70531168],[1.24297691 0.6607595 ],[1.29644044 0.61248363],[1.35249081 0.55955634],[1.40040997 0.50266441],[1.44486467 0.44844824],[1.49097253 0.39715792],[1.51967532 0.35609438]
290000,[1.17204173 0.74789315],[1.12817868 0.69937633],[1.08050492 0.6514203 ],[1.04371757 0.60939254],[0.99827579 0.56191031],[0.9547155  0.51217547],[0.93504134 0.46530063],[0.9507718  0.37439583],[0.99306048 0.31655109]
300000,[1.17204173 0.74789315],[1.20429703 0.69905061],[1.24223765 0.65281985],[1.2906939  0.60781265],[1.3398106  0.56258949],[1.38771109 0.51546627],[1.42644989 0.47542065],[1.43832619 0.46060468],[1.44969326 0.44441043]
310000,[1.17204173 0.74789315],[1.19035541 0.6984237 ],[1.22030783 0.65454929],[1.27115321 0.6153189 ],[1.31669987 0.56802596],[1.36422722 0.5185844 ],[1.39346732 0.48801928],[1.40458123 0.47541714],[1.41592297 0.46193088]
320000,[1.17204173 0.74789315],[1.21436996 0.69792129],[1.25962823 0.65737309],[1.30539504 0.6151865 ],[1.35057343 0.56728527],[1.36557383 0.54689019],[1.36074783 0.54522543],[1.35491871 0.54495844],[1.34846873 0.54573643]
330000,[1.17204173 0.74789315],[1.19965998 0.70259314],[1.24038295 0.65782863],[1.28884528 0.61119349],[1.33775886 0.56362677],[1.38625431 0.51556703],[1.40094703 0.50006408],[1.39576455 0.50374993],[1.3906469  0.50708002]
340000,[1.17204173 0.74789315],[1.20149394 0.69945783],[1.21867616 0.65239348],[1.2389834  0.60494627],[1.28533762 0.55814262],[1.33645354 0.51088564],[1.38681001 0.46250681],[1.43586701 0.41251056],[1.47139152 0.37487809]
350000,[1.17204173 0.74789315],[1.12640943 0.6982219 ],[1.08109704 0.64948578],[1.06360217 0.60494962],[1.08929793 0.56006885],[1.14121792 0.51410388],[1.19338431 0.46793837],[1.24327762 0.42027794],[1.29285229 0.37139702]
360000,[1.17204173 0.74789315],[1.12952413 0.69922475],[1.09290216 0.6511923 ],[1.11729804 0.60594574],[1.16897289 0.55809365],[1.22011789 0.50949264],[1.27194507 0.46046983],[1.32425694 0.41104806],[1.37580897 0.36225412]
370000,[1.17204173 0.74789315],[1.18377844 0.69623744],[1.23757814 0.645132  ],[1.28765859 0.59743808],[1.33909685 0.54949119],[1.39051905 0.50228181],[1.44151661 0.45566657],[1.49153433 0.40976683],[1.5101658  0.39471891]
380000,[1.17204173 0.74789315],[1.18353372 0.69538102],[1.22201429 0.64514362],[1.27141551 0.5952084 ],[1.32240023 0.54529652],[1.3738219  0.49555307],[1.42569825 0.44631456],[1.47660654 0.39895006],[1.51028061 0.36802395]
390000,[1.17204173 0.74789315],[1.18901836 0.69453506],[1.23609352 0.64475716],[1.28672646 0.59568046],[1.33765932 0.54695632],[1.38890907 0.49879394],[1.44035341 0.45158072],[1.47066452 0.42106787],[1.48431628 0.40369682]
400000,[1.17204173 0.74789315],[1.19213483 0.6946696 ],[1.24482904 0.6456207 ],[1.29876551 0.59933009],[1.35225799 0.5566323 ],[1.40106446 0.51319479],[1.4413952  0.47278523],[1.43130159 0.48175037],[1.43260252 0.47951937]
410000,[1.17204173 0.74789315],[1.21328647 0.69635945],[1.26641499 0.64844958],[1.31715595 0.5999064 ],[1.36756097 0.55112651],[1.41750752 0.50198274],[1.46718819 0.45254213],[1.51657083 0.40298362],[1.53141881 0.37592489]
420000,[1.17204173 0.74789315],[1.20417861 0.69527259],[1.25711729 0.64706607],[1.30800531 0.59841364],[1.3588513  0.54979392],[1.40923424 0.50082885],[1.45928888 0.45166568],[1.50913103 0.40234414],[1.55435656 0.35625572]
430000,[1.17204173 0.74789315],[1.21220541 0.69532349],[1.26626135 0.64739176],[1.31987384 0.60174567],[1.37145285 0.55660859],[1.42113533 0.51036448],[1.46970023 0.46312607],[1.47176116 0.46000601],[1.46897373 0.46138619]
440000,[1.17204173 0.74789315],[1.2160794  0.69486212],[1.26950432 0.64620647],[1.32056953 0.59836206],[1.37109614 0.55008524],[1.42139271 0.50149883],[1.4715064  0.45283385],[1.52143547 0.40407307],[1.56360876 0.36105706]
450000,[1.17204173 0.74789315],[1.21916928 0.69580866],[1.27272    0.64796449],[1.32198498 0.59983296],[1.37260948 0.55225393],[1.42262007 0.50457466],[1.47259386 0.45712418],[1.52223463 0.40967663],[1.52009258 0.40894026]
460000,[1.17204173 0.74789315],[1.22903719 0.69415382],[1.28095925 0.64591655],[1.33510799 0.60175947],[1.38563606 0.55842101],[1.43306795 0.51300636],[1.44266166 0.50071224],[1.43744458 0.50207231],[1.43688762 0.49872859]
470000,[1.17204173 0.74789315],[1.21418276 0.69154393],[1.27076748 0.64573959],[1.32425517 0.60184269],[1.37286185 0.56011428],[1.41858803 0.51506292],[1.44466152 0.48628418],[1.44118904 0.48536694],[1.44114883 0.48092737]
480000,[1.17204173 0.74789315],[1.22779502 0.69144689],[1.28867961 0.6442967 ],[1.342198   0.60539358],[1.38755449 0.56173968],[1.42751514 0.5190046 ],[1.43050932 0.50992686],[1.43549461 0.4992245 ],[1.44117356 0.48796125]
490000,[1.17204173 0.74789315],[1.22785017 0.69254215],[1.28711513 0.64709986],[1.34094722 0.60856248],[1.38557266 0.56416537],[1.43154831 0.51561896],[1.44325726 0.49776505],[1.45035967 0.48420332],[1.45543287 0.47258752]
500000,[1.17204173 0.74789315],[1.2275453  0.69276158],[1.28951612 0.6407855 ],[1.34314096 0.60358885],[1.38711954 0.55933985],[1.43086692 0.51314842],[1.43506518 0.50312157],[1.43765327 0.49490891],[1.43881332 0.48827515]
510000,[1.17204173 0.74789315],[1.21049406 0.689783  ],[1.26832627 0.6374925 ],[1.32527854 0.60011004],[1.36887986 0.55995125],[1.41426299 0.51295451],[1.43437327 0.48925593],[1.43594087 0.48305079],[1.43491186 0.47954749]
