110000,[1.17204173 0.74789315],[1.13548454 0.75238011],[1.14218954 0.79972885],[1.16918861 0.84956863],[1.20095058 0.89569609],[1.23583117 0.94097149],[1.27433801 0.98649906],[1.31059305 1.03014344],[1.34202061 1.07055386],[1.36715694 1.10669146],[1.38561766 1.1380305 ]
120000,[1.17204173 0.74789315],[1.1553388  0.74660438],[1.1899559  0.79317626],[1.22448843 0.84081794],[1.24901375 0.88415677],[1.27078378 0.92499611],[1.29936334 0.96679799],[1.33177325 1.00917572],[1.36112498 1.04930074],[1.38470315 1.08564401],[1.40179749 1.11751181]
130000,[1.17204173 0.74789315],[1.1562646  0.74680304],[1.19123448 0.79310774],[1.22651948 0.84079713],[1.25770328 0.88597104],[1.29299321 0.93131667],[1.32840109 0.97583617],[1.36007016 1.01800558],[1.38590878 1.0566235 ],[1.40519177 1.09098727],[1.41793299 1.12076144]
140000,[1.17204173 0.74789315],[1.18160595 0.75877784],[1.22134056 0.80091521],[1.25472998 0.84358876],[1.29418572 0.88877773],[1.33103365 0.93477334],[1.3603927  0.97849211],[1.38529306 1.0189932 ],[1.40574676 1.05586852],[1.42076138 1.08870358],[1.43004881 1.11723095]
150000,[1.17204173 0.74789315],[1.19823548 0.76807048],[1.24350074 0.80943766],[1.27440024 0.8462006 ],[1.29684099 0.87852053],[1.32500979 0.91668392],[1.35165271 0.95819446],[1.37488701 0.99869898],[1.39506975 1.03651571],[1.41164542 1.07101893],[1.42364581 1.10174198]
160000,[1.17204173 0.74789315],[1.19586394 0.77952271],[1.24308065 0.82815249],[1.29036071 0.87823952],[1.33827619 0.92817974],[1.37413472 0.97192235],[1.39572448 1.01270114],[1.40932945 1.04865438],[1.42060905 1.08094017],[1.428944   1.10974184],[1.43332469 1.13479655]
170000,[1.17204173 0.74789315],[1.15342262 0.74688348],[1.18435056 0.79347866],[1.21893204 0.84114165],[1.2446874  0.88471873],[1.273827   0.92796741],[1.31035942 0.97282976],[1.34454191 1.01593851],[1.37299344 1.05560288],[1.39469011 1.09096233],[1.40962278 1.12164614]
180000,[1.17204173 0.74789315],[1.14746436 0.75015333],[1.16869556 0.79799617],[1.205083   0.84677965],[1.24265706 0.89381356],[1.2834487  0.94089486],[1.32000764 0.98555187],[1.35128158 1.02712915],[1.37752082 1.06544909],[1.39747187 1.09958457],[1.41094094 1.1291044 ]
190000,[1.17204173 0.74789315],[1.14603069 0.75607781],[1.16960896 0.80798865],[1.20549405 0.85798786],[1.24354738 0.90529364],[1.28307943 0.95188657],[1.31602314 0.99484748],[1.34230471 1.03380374],[1.36204141 1.06844519],[1.3765912  1.09916678],[1.38696369 1.12632244]
200000,[1.17204173 0.74789315],[1.14463025 0.77535554],[1.14829706 0.83227241],[1.15553951 0.88373544],[1.16695182 0.93163694],[1.18002656 0.98033164],[1.19616999 1.02913268],[1.21402181 1.0785185 ],[1.23376755 1.12842176],[1.2574087 1.1783643],[1.2846849  1.22832938]
