150000,[1.17204173 0.74789315],[1.22559959 0.78805631],[1.27323948 0.83533233],[1.32554141 0.88413638],[1.34943617 0.91622616],[1.36516826 0.93888231],[1.33525078 0.92665335],[1.34820836 0.94791316],[1.32315982 0.93266778],[1.32929487 0.94941643],[1.3114582  0.93486307],[1.31125538 0.94725086],[1.3001982  0.93458201]
160000,[1.17204173 0.74789315],[1.22559959 0.7880563 ],[1.27323948 0.83533233],[1.32554141 0.88413638],[1.34943617 0.91622615],[1.36516826 0.93888231],[1.33525078 0.92665335],[1.34820836 0.94791315],[1.32315982 0.93266778],[1.32929487 0.94941642],[1.3114582  0.93486306],[1.31125538 0.94725086],[1.3001982  0.93458201]
170000,[1.17204173 0.74789315],[1.22559959 0.78805631],[1.27323948 0.83533233],[1.32554141 0.88413638],[1.34943617 0.91622616],[1.36516825 0.93888231],[1.33525078 0.92665335],[1.34820835 0.94791315],[1.32315982 0.93266778],[1.32929487 0.94941642],[1.3114582  0.93486306],[1.31125538 0.94725086],[1.30019819 0.93458201]
180000,[1.17204173 0.74789315],[1.22559959 0.78805631],[1.27323949 0.83533233],[1.32554141 0.88413638],[1.34943618 0.91622616],[1.36516825 0.93888231],[1.33525078 0.92665335],[1.34820835 0.94791315],[1.32315982 0.93266778],[1.32929487 0.94941642],[1.3114582  0.93486306],[1.31125538 0.94725086],[1.3001982  0.93458201]
190000,[1.17204173 0.74789315],[1.22559959 0.78805631],[1.27323949 0.83533233],[1.32554141 0.88413638],[1.34943619 0.91622617],[1.36516825 0.93888231],[1.33525079 0.92665335],[1.34820836 0.94791315],[1.32315982 0.93266778],[1.32929487 0.94941642],[1.3114582  0.93486306],[1.31125538 0.94725086],[1.3001982  0.93458201]
200000,[1.17204173 0.74789315],[1.22559959 0.78805631],[1.27323949 0.83533233],[1.32554141 0.88413638],[1.34943619 0.91622617],[1.36516825 0.93888231],[1.33525078 0.92665335],[1.34820836 0.94791315],[1.32315982 0.93266778],[1.32929487 0.94941642],[1.3114582  0.93486306],[1.31125538 0.94725086],[1.3001982  0.93458201]
210000,[1.17204173 0.74789315],[1.2255996 0.7880563],[1.27323948 0.83533233],[1.32554141 0.88413638],[1.34943616 0.91622615],[1.36516826 0.93888232],[1.33525078 0.92665335],[1.34820836 0.94791316],[1.32315982 0.93266778],[1.32929487 0.94941642],[1.3114582  0.93486306],[1.31125539 0.94725086],[1.3001982  0.93458201]
220000,[1.17204173 0.74789315],[1.22559959 0.7880563 ],[1.27323949 0.83533233],[1.32554141 0.88413638],[1.34943617 0.91622616],[1.36516825 0.93888231],[1.33525078 0.92665335],[1.34820835 0.94791315],[1.32315982 0.93266778],[1.32929487 0.94941642],[1.3114582  0.93486306],[1.31125538 0.94725086],[1.3001982  0.93458201]
230000,[1.17204173 0.74789315],[1.22559959 0.78805631],[1.27323949 0.83533233],[1.32554141 0.88413638],[1.34943617 0.91622616],[1.36516825 0.93888231],[1.33525078 0.92665335],[1.34820835 0.94791315],[1.32315982 0.93266778],[1.32929487 0.94941642],[1.3114582  0.93486306],[1.31125538 0.94725086],[1.3001982  0.93458201]
240000,[1.17204173 0.74789315],[1.22559959 0.78805631],[1.27323949 0.83533233],[1.32554141 0.88413638],[1.34943619 0.91622617],[1.36516825 0.93888231],[1.33525079 0.92665335],[1.34820836 0.94791315],[1.32315982 0.93266778],[1.32929487 0.94941642],[1.3114582  0.93486306],[1.31125538 0.94725086],[1.3001982  0.93458201]
250000,[1.17204173 0.74789315],[1.22559959 0.78805631],[1.27323949 0.83533233],[1.32554141 0.88413638],[1.34943617 0.91622616],[1.36516825 0.93888231],[1.33525078 0.92665335],[1.34820835 0.94791315],[1.32315982 0.93266778],[1.32929487 0.94941642],[1.3114582  0.93486306],[1.31125538 0.94725086],[1.3001982  0.93458201]
260000,[1.17204173 0.74789315],[1.22559959 0.78805631],[1.27323948 0.83533233],[1.32554141 0.88413638],[1.34943616 0.91622615],[1.36516825 0.93888231],[1.33525077 0.92665335],[1.34820835 0.94791315],[1.32315981 0.93266778],[1.32929486 0.94941642],[1.3114582  0.93486306],[1.31125538 0.94725086],[1.30019819 0.93458201]
270000,[1.17204173 0.74789315],[1.22559959 0.78805631],[1.27323948 0.83533233],[1.32554141 0.88413638],[1.34943616 0.91622615],[1.36516825 0.93888231],[1.33525077 0.92665335],[1.34820835 0.94791315],[1.32315981 0.93266778],[1.32929487 0.94941642],[1.3114582  0.93486306],[1.31125538 0.94725086],[1.30019819 0.93458201]
280000,[1.17204173 0.74789315],[1.22559959 0.78805631],[1.27323948 0.83533233],[1.32554141 0.88413638],[1.34943617 0.91622615],[1.36516825 0.93888231],[1.33525078 0.92665335],[1.34820835 0.94791315],[1.32315982 0.93266778],[1.32929487 0.94941642],[1.3114582  0.93486306],[1.31125538 0.94725086],[1.30019819 0.93458201]
290000,[1.17204173 0.74789315],[1.22559959 0.78805631],[1.27323949 0.83533233],[1.32554141 0.88413638],[1.34943619 0.91622617],[1.36516825 0.93888231],[1.33525078 0.92665335],[1.34820836 0.94791315],[1.32315982 0.93266778],[1.32929487 0.94941642],[1.3114582  0.93486306],[1.31125538 0.94725086],[1.3001982  0.93458201]
300000,[1.17204173 0.74789315],[1.22559959 0.78805631],[1.27323949 0.83533233],[1.32554141 0.88413638],[1.34943618 0.91622616],[1.36516825 0.93888231],[1.33525078 0.92665335],[1.34820835 0.94791315],[1.32315982 0.93266778],[1.32929487 0.94941642],[1.3114582  0.93486306],[1.31125538 0.94725086],[1.3001982  0.93458201]
310000,[1.17204173 0.74789315],[1.22559959 0.78805631],[1.27323949 0.83533233],[1.32554141 0.88413638],[1.34943618 0.91622616],[1.36516825 0.93888231],[1.33525078 0.92665335],[1.34820835 0.94791315],[1.32315982 0.93266778],[1.32929487 0.94941642],[1.3114582  0.93486306],[1.31125538 0.94725086],[1.3001982  0.93458201]
