110000,[1.17204173 0.74789315 0.55890028],[1.20760082 0.70806455 0.64529893],[1.25415404 0.66084743 0.66406868],[1.30627257 0.61153176 0.74136161],[1.35939006 0.56403418 0.76908997],[1.39710907 0.51394902 0.84759307],[1.44729729 0.4770559  0.87527873],[1.44822559 0.43195641 0.9583605 ],[1.504539   0.39869457 0.99335751]
120000,[1.17204173 0.74789315 0.55890028],[1.22533001 0.70807737 0.64528565],[1.27428031 0.66122906 0.66432705],[1.32598916 0.60966582 0.74310943],[1.37988268 0.5637383  0.76920722],[1.41500371 0.51009949 0.8503026 ],[1.47370059 0.46921538 0.87906658],[1.46101453 0.42329446 0.96348726],[1.50711674 0.40437829 0.99450763]
130000,[1.17204173 0.74789315 0.55890028],[1.22533726 0.70808656 0.64527171],[1.27538001 0.66156582 0.66465401],[1.32614592 0.60877086 0.74386885],[1.38257047 0.56359758 0.77103836],[1.41763371 0.50529507 0.85012202],[1.48006238 0.4640225  0.88223774],[1.46019306 0.41756096 0.96288578],[1.52337836 0.3797712  1.00502142]
140000,[1.17204173 0.74789315 0.55890028],[1.22533856 0.70808696 0.64528109],[1.27571546 0.66166259 0.66478178],[1.32604866 0.60903629 0.74369224],[1.38325627 0.56354996 0.77168665],[1.41643695 0.50617733 0.85041448],[1.47913878 0.46408399 0.88378186],[1.46119585 0.41888605 0.96315482],[1.52489469 0.38168004 1.00287498]
150000,[1.17204173 0.74789315 0.55890028],[1.22533863 0.70808702 0.64528127],[1.27631806 0.66182976 0.66501108],[1.32593556 0.60914067 0.74362594],[1.38326439 0.56349937 0.77141263],[1.41605144 0.50649233 0.85049262],[1.47869084 0.46448056 0.88310931],[1.461314   0.41894416 0.96314816],[1.52581026 0.37887773 1.00558377]
160000,[1.17204173 0.74789315 0.55890028],[1.22533863 0.70808705 0.64528126],[1.2765022  0.66187893 0.66508578],[1.32591611 0.60907711 0.74367679],[1.38388799 0.56341262 0.77208218],[1.41524221 0.50690083 0.85069727],[1.47812371 0.46449616 0.88399035],[1.46164862 0.41874547 0.96311281],[1.52655238 0.37842725 1.00560464]
170000,[1.17204173 0.74789315 0.55890028],[1.22533863 0.70808705 0.64528125],[1.27634797 0.66183781 0.66502307],[1.32594119 0.6091047  0.74365321],[1.38363287 0.56345934 0.77183314],[1.41531152 0.50702383 0.85067816],[1.47799369 0.46480122 0.88321755],[1.46143199 0.41827254 0.96304924],[1.52615108 0.37904929 1.00480132]
180000,[1.17204173 0.74789315 0.55890028],[1.22515184 0.70816282 0.61338782],[1.27325179 0.66106289 0.63181852],[1.32613137 0.60996585 0.71066025],[1.38001461 0.56414266 0.73718716],[1.40906745 0.5132243  0.82145063],[1.46857195 0.47130561 0.85072682],[1.4578186  0.42424903 0.93663968],[1.51224676 0.39551517 0.97363765]
190000,[1.17204173 0.74789315 0.55890028],[1.22534768 0.7080422  0.64529923],[1.27368645 0.66102485 0.66414538],[1.32554948 0.61118421 0.74164965],[1.38073187 0.56408457 0.77039139],[1.42117188 0.5026733  0.84903983],[1.48323227 0.46270016 0.88243758],[1.45385554 0.41460125 0.96214887],[1.51212865 0.38343433 1.00508856]
200000,[1.17204173 0.74789315 0.55890028],[1.22535564 0.70800176 0.64530023],[1.27370882 0.66102658 0.66407941],[1.32560803 0.61103523 0.74169006],[1.38038851 0.56404072 0.76988149],[1.41569134 0.50966367 0.84983944],[1.47656885 0.46656842 0.88235853],[1.46108385 0.42212706 0.96354461],[1.51701976 0.39175184 1.00054954]
210000,[1.17204173 0.74789315 0.55890028],[1.22534245 0.70806715 0.64523693],[1.27334182 0.66091126 0.66397785],[1.32548358 0.6115012  0.74119854],[1.37945447 0.5641065  0.76938993],[1.41363693 0.51269278 0.85003798],[1.4738765  0.46857604 0.88303777],[1.46160415 0.42527467 0.96410138],[1.51437994 0.39685347 0.99971547]
