140000,[1.17204173 0.74789315],[1.20836725 0.78078234],[1.26727411 0.82921799],[1.32006362 0.87887404],[1.36956279 0.92789436],[1.37865112 0.94197888],[1.37784892 0.94695535],[1.37371798 0.94846052],[1.36832982 0.94831497],[1.3624341 0.9472175],[1.35638699 0.94552534]
150000,[1.17204173 0.74789315],[1.20815323 0.7809651 ],[1.26615629 0.82814709],[1.31884818 0.87787741],[1.35931183 0.91933881],[1.3671221  0.93272139],[1.36797797 0.93951645],[1.36546841 0.94267339],[1.36134779 0.94372523],[1.35652099 0.9435065 ],[1.35148014 0.94250146]
160000,[1.17204173 0.74789315],[1.21104823 0.78105335],[1.26878475 0.82789643],[1.32160519 0.877621  ],[1.36155807 0.91855084],[1.36999948 0.93238625],[1.37134329 0.93948217],[1.36914942 0.94276439],[1.36520667 0.94381379],[1.36045056 0.94351285],[1.35528617 0.94230556]
170000,[1.17204173 0.74789315],[1.21047767 0.78117518],[1.26823531 0.82799688],[1.32107214 0.87770561],[1.36066186 0.91832406],[1.36921709 0.93225645],[1.37079942 0.93954757],[1.36894488 0.94310119],[1.36541988 0.94447482],[1.36114524 0.94453358],[1.35662419 0.94378592]
180000,[1.17204173 0.74789315],[1.20893005 0.7805114 ],[1.26637387 0.82719755],[1.31920995 0.87680343],[1.35545496 0.91464055],[1.36395187 0.92878138],[1.36552254 0.9363211 ],[1.36366544 0.94009962],[1.36013663 0.94165362],[1.35578415 0.94179511],[1.35113902 0.94106308]
190000,[1.17204173 0.74789315],[1.20882984 0.78049209],[1.26626012 0.82717232],[1.31912407 0.87677311],[1.3556257  0.91479371],[1.36445867 0.92916086],[1.36641898 0.93694709],[1.36499706 0.94098203],[1.36184954 0.94272972],[1.3579287  0.94308488],[1.35376088 0.94258263]
200000,[1.17204173 0.74789315],[1.20884656 0.78049836],[1.26628665 0.82717699],[1.31915414 0.87678002],[1.35583918 0.91494377],[1.36483722 0.9294172 ],[1.3669814  0.93731131],[1.36576133 0.94145326],[1.36280593 0.94328584],[1.35907047 0.94370885],[1.35507068 0.94325379]
210000,[1.17204173 0.74789315],[1.2090324  0.78061448],[1.26649272 0.82728223],[1.31938016 0.87689061],[1.35658917 0.91545668],[1.36600553 0.93019402],[1.36872466 0.93844493],[1.36802346 0.94287406],[1.36563096 0.9450083 ],[1.36246574 0.94572798],[1.35901617 0.94555648]
220000,[1.17204173 0.74789315],[1.20886596 0.78066338],[1.26627314 0.82730769],[1.31911498 0.87689549],[1.35491876 0.91434053],[1.36381877 0.92878396],[1.36596605 0.93672403],[1.36472369 0.94088454],[1.36179205 0.94276095],[1.35809197 0.94322648],[1.35412194 0.94280376]
230000,[1.17204173 0.74789315],[1.21010169 0.78093701],[1.26764716 0.82762171],[1.32057707 0.87726719],[1.35952945 0.91723146],[1.36948585 0.93226133],[1.37246744 0.94058117],[1.37187235 0.94496864],[1.36949384 0.94701788],[1.36626086 0.94762885],[1.36267732 0.94734367]
240000,[1.17204173 0.74789315],[1.21092466 0.78108352],[1.26851035 0.82782027],[1.3215103  0.87750563],[1.36266688 0.91925712],[1.37321905 0.93462799],[1.37662117 0.94314314],[1.37632287 0.94763776],[1.37411847 0.94972215],[1.37095688 0.9503232 ],[1.36736548 0.95000734]
250000,[1.17204173 0.74789315],[1.21093332 0.78108133],[1.26853581 0.82781685],[1.32154102 0.87750678],[1.36306474 0.91954824],[1.37386964 0.93509634],[1.37749713 0.94376358],[1.37745914 0.94843795],[1.37551069 0.95070223],[1.37257591 0.95146846],[1.36910997 0.9512462 ]
260000,[1.17204173 0.74789315],[1.21095064 0.78107307],[1.26863627 0.82780525],[1.32163322 0.87751203],[1.36392376 0.92018004],[1.37516718 0.93603086],[1.37927539 0.9450296 ],[1.37972517 0.95004393],[1.37824015 0.95264141],[1.37573773 0.95373996],[1.37257171 0.95376548]
270000,[1.17204173 0.74789315],[1.21160002 0.78091716],[1.26940798 0.82771091],[1.32240545 0.87747459],[1.36679963 0.92190513],[1.37826918 0.93787238],[1.38258502 0.94698469],[1.38313107 0.9520461 ],[1.38167829 0.95467117],[1.37916793 0.95580067],[1.37604406 0.95593685]
280000,[1.17204173 0.74789315],[1.21194851 0.78083844],[1.26980154 0.82767365],[1.32278811 0.8774648 ],[1.36807163 0.92265325],[1.37950648 0.93857258],[1.38375559 0.94761834],[1.38420813 0.95260127],[1.38264404 0.9551433 ],[1.38002131 0.95619725],[1.37683404 0.95630801]
