110000,[1.17204173 0.74789315],[1.22289503 0.77961774],[1.28030883 0.83771615],[1.32706807 0.89259608],[1.36731404 0.94496212],[1.40199205 0.99647709],[1.43035199 1.04742311],[1.45117279 1.09821141],[1.46378087 1.1499671 ],[1.46101994 1.20117854],[1.44547813 1.24876582]
120000,[1.17204173 0.74789315],[1.22593282 0.77916349],[1.28585249 0.83743698],[1.33932439 0.89165449],[1.3893233  0.94393055],[1.43831202 0.99524225],[1.48638244 1.04616105],[1.53323036 1.09695532],[1.57827751 1.14778464],[1.62026675 1.19869586],[1.62394431 1.22017324]
130000,[1.17204173 0.74789315],[1.22832831 0.77862246],[1.28932892 0.83677677],[1.3427906  0.89090234],[1.39359765 0.94321891],[1.44371768 0.99480643],[1.49388624 1.04608625],[1.54414998 1.09724259],[1.59446021 1.14842078],[1.64268718 1.19865987],[1.64498019 1.21414167]
140000,[1.17204173 0.74789315],[1.2277116  0.77933746],[1.28806425 0.83849561],[1.34143854 0.89348359],[1.39227278 0.94649959],[1.44241355 0.99869975],[1.49224453 1.05053927],[1.54188748 1.10220063],[1.59140362 1.15376089],[1.64097293 1.20501991],[1.66018106 1.23629235]
150000,[1.17204173 0.74789315],[1.22597709 0.779499  ],[1.2864928  0.83748033],[1.3369322  0.89255888],[1.38432192 0.94567528],[1.42990791 0.99805645],[1.47369402 1.0501191 ],[1.51562606 1.10182567],[1.55536239 1.15337816],[1.5934647  1.20502037],[1.63010543 1.25707746]
160000,[1.17204173 0.74789315],[1.22754723 0.77969448],[1.28854426 0.83950656],[1.34157934 0.89456424],[1.39225872 0.9479012 ],[1.44222951 1.00029017],[1.4919206  1.05208956],[1.54149282 1.10352377],[1.59100827 1.15479173],[1.64054983 1.20608031],[1.66370327 1.2424278 ]
170000,[1.17204173 0.74789315],[1.22829576 0.78001872],[1.28883223 0.84058676],[1.34165863 0.89560672],[1.39225554 0.94848846],[1.44224782 1.00039282],[1.49201322 1.05187605],[1.54166368 1.10316824],[1.59125289 1.15437709],[1.64089572 1.20570035],[1.66309419 1.24087311]
180000,[1.17204173 0.74789315],[1.2278699  0.78005524],[1.28859558 0.84020339],[1.34163367 0.89511012],[1.39231934 0.94778643],[1.44234487 0.99972492],[1.49208431 1.05134256],[1.54166195 1.1027968 ],[1.59114399 1.15415819],[1.64063039 1.20557379],[1.66012496 1.23924293]
190000,[1.17204173 0.74789315],[1.22675641 0.77943416],[1.28727234 0.83708639],[1.33844181 0.89191259],[1.38739984 0.94458794],[1.43560684 0.99655332],[1.48337607 1.04824425],[1.53079228 1.09981929],[1.57789363 1.15134216],[1.62476563 1.20293712],[1.65819365 1.24720556]
200000,[1.17204173 0.74789315],[1.22990051 0.77997004],[1.29113052 0.83915774],[1.34304393 0.89401844],[1.3931935 0.9470343],[1.44280382 0.99926456],[1.4921415 1.0511404],[1.54128619 1.10283188],[1.59034308 1.15424091],[1.6394187  1.20564491],[1.66775461 1.24454787]
210000,[1.17204173 0.74789315],[1.23049451 0.78013594],[1.29136819 0.83993882],[1.34361607 0.89460943],[1.39413921 0.94736109],[1.44418543 0.99959076],[1.49394981 1.05159071],[1.54349029 1.10345066],[1.59285293 1.15519164],[1.64210702 1.20685537],[1.67036743 1.24674546]
220000,[1.17204173 0.74789315],[1.23115189 0.78041937],[1.291776   0.84082528],[1.34380082 0.89568132],[1.39417401 0.94855958],[1.44406819 1.000871  ],[1.49367302 1.05292414],[1.5430457  1.10480915],[1.59223334 1.15654818],[1.64127554 1.20815524],[1.66917306 1.24897817]
230000,[1.17204173 0.74789315],[1.22130722 0.77929853],[1.27471002 0.83492552],[1.31813772 0.88782626],[1.35836376 0.93935398],[1.39567003 0.99033458],[1.42940088 1.04102546],[1.45830896 1.09151147],[1.48053636 1.141806  ],[1.49359241 1.19189281],[1.49385871 1.2407375 ]
240000,[1.17204173 0.74789315],[1.22514306 0.77941233],[1.28266293 0.83627006],[1.33177364 0.88972306],[1.37994508 0.94211215],[1.42798754 0.99420068],[1.47601332 1.04626559],[1.52399233 1.09838865],[1.57188173 1.15055058],[1.61966953 1.20273965],[1.666908   1.25465883]
250000,[1.17204173 0.74789315],[1.23229892 0.78194751],[1.29249798 0.84231058],[1.34396748 0.89662674],[1.39416149 0.94826666],[1.44407727 0.99921362],[1.49386508 1.04998207],[1.54356283 1.10067934],[1.5931982  1.15136717],[1.6428452  1.20221472],[1.66438807 1.23368523]
260000,[1.17204173 0.74789315],[1.22031721 0.77909792],[1.28022006 0.8296001 ],[1.33234259 0.88194896],[1.38265631 0.93315334],[1.41962394 0.97382493],[1.43256968 0.99585507],[1.43730446 1.01179283],[1.43710157 1.02405212],[1.4342205  1.03434156],[1.43010709 1.04387572]
270000,[1.17204173 0.74789315],[1.14860969 0.79777834],[1.1291     0.84838132],[1.11800285 0.89791262],[1.11703389 0.94727448],[1.13136715 0.99662443],[1.16126668 1.04628699],[1.20061851 1.09614833],[1.24517983 1.14614265],[1.27689695 1.18222865],[1.28098356 1.1928128 ]
280000,[1.17204173 0.74789315],[1.13840748 0.80183907],[1.10855145 0.85577127],[1.09244965 0.90738484],[1.09775881 0.95798684],[1.11977924 1.00767856],[1.15319537 1.05697355],[1.19389969 1.10621788],[1.2387882  1.15540578],[1.26234811 1.19118886],[1.26152517 1.2102674 ]
